Time,TimeSec,Name,Nationality,Date,Event/Place,Source,Notes
2:55:18.4,10518.4,Johnny Hayes, United States,"July 24, 1908","London, United Kingdom",IAA [49,"Time was officially recorded as 2:55:18 2/5 [50 ItalianDorando Pietrifinished in 2:54:46.4, but was disqualified for receiving assistance from race officials near the finish [51 Note [52"
2:52:45.4,10365.4,Robert Fowler, United States,"January 1, 1909",Yonkers [nb 5 United States,IAA [49,Note [52
2:46:52.8,10012.8,James Clark, United States,"February 12, 1909","New York City, United States",IAA [49,Note [52
2:46:04.6,9964.6,Albert Raines, United States,"May 8, 1909","New York City, United States",IAA [49,Note [52
2:42:31.0,9751,Henry Barrett, United Kingdom,"May 26, 190 [nb 6","Polytechnic Marathon, London, United Kingdom",IAA [49,Note [52
2:40:34.2,9634.2,Thure Johansson, Sweden,"August 31, 1909","Stockholm, Sweden",IAA [49,Note [52
2:38:16.2,9496.2,Harry Green, United Kingdom,"May 12, 1913",Polytechnic Marathon,IAA [49,Note [57
2:36:06.6,9366.6,Alexis Ahlgren, Sweden,"May 31, 1913",Polytechnic Marathon,IAA [49,Report in The Timesclaiming world record [58 Note [57
2:38:00.8,9480.8,Umberto Blasi, Italy,"November 29, 1914","Legnano, Italy",ARR [10,
2:32:35.8,9155.8,Hannes Kolehmainen, Finland,"August 22, 1920","Antwerp, Belgium",IAAF [49 ARR [10,"The course distance was officially reported to be 42,750 meters/26.56 miles [59 however, the Association of Road Racing Statisticians estimated the course to be 40 km [27"
2:29:01.8,8941.8,Albert Michelsen, United States,"October 12, 1925","Port Chester, United States",IAA [49,Note [60
2:30:57.6,9057.6,Harry Payne, United Kingdom,"July 5, 1929",London,ARR [10,
2:26:14,8774,Sohn Kee-chung,Korea,"March 21, 1935","Tokyo, Japan",ARR [10,Competed for Japan as Kitei Son because of Japan's occupation of the Korean Peninsula
2:27:49.0,8869,Fusashige Suzuki, Japan,"March 31, 1935","Tokyo, Japan",IAA [49,"According to the Association of Road Racing Statisticians, Suzuki's 2:27:49 performance occurred in Tokyo on March 21, 1935, during a race in which he finished second to Sohn Kee-chung (sometimes referred to as Kee-Jung Sohn or Son Kitei) who ran a 2:26:14 [61"
2:26:44.0,8804,Yasuo Ikenaka, Japan,"April 3, 1935","Tokyo, Japan",IAA [49,Note [62
2:26:42,8802,Sohn Kee-chung, Korea,"November 3, 1935","Tokyo, Japan",IAA [49,Note [62
2:25:39,8739,Suh Yun-bok, Korea,"April 19, 1947",Boston Marathon,IAA [49,Disputed (short course) [63 Disputed (point-to-point) [64 Note [65
2:20:42.2,8442.2,Jim Peters, United Kingdom,"June 14, 1952",Polytechnic Marathon,IAAF [49 ARR [10,MarathonGuide.comstates the course was slightly long [66 Report in The Timesclaiming world record [67
2:18:40.4,8320.4,Jim Peters, United Kingdom,"June 13, 1953",Polytechnic Marathon,IAAF [49 ARR [10,Report in The Timesclaiming world record [67
2:18:34.8,8314.8,Jim Peters, United Kingdom,"October 4, 1953",Turku Marathon,IAAF [49 ARR [10,
2:17:39.4,8259.4,Jim Peters, United Kingdom,"June 26, 1954",Polytechnic Marathon,IAA [49,Point-to-point course [citation needed Report in The Timesclaiming world record [68
2:18:04.8,8284.8,Paavo Kotila, Finland,"August 12, 1956","Pieksämäki, Finland",ARR [10,
2:15:17.0,8117,Sergei Popov, Soviet Union,"August 24, 1958","Stockholm, Sweden",IAAF [49 ARR [10,The ARRS notes Popov's extended time as 2:15:17. [10
